Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_wishlist_TL,Chrome 121.0.0.0,,,28-01-2024 13:49:34,28-01-2024 13:52:15,2m - 40.813s,PASSED
,,,,,,,
Test Cases/Test Listeners/TC_Amazon_wishlist,Chrome 121.0.0.0,,,28-01-2024 13:50:51,28-01-2024 13:52:15,1m - 23.323s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,28-01-2024 13:50:51,28-01-2024 13:50:52,0.403s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,28-01-2024 13:50:52,28-01-2024 13:50:53,1.170s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,28-01-2024 13:50:53,28-01-2024 13:50:55,1.656s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Authentication_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""umbrella"")",Chrome 121.0.0.0,,,28-01-2024 13:50:55,28-01-2024 13:50:56,1.175s,PASSED
"click(findTestObject(""Object Repository/Amazon_Authentication_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,28-01-2024 13:50:56,28-01-2024 13:51:03,7.048s,PASSED
"click(findTestObject(""Object Repository/Amazon_Authentication_OR/Page_Amazon.com  umbrella/img_s-image""))",Chrome 121.0.0.0,,,28-01-2024 13:51:03,28-01-2024 13:51:40,37.331s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,28-01-2024 13:51:40,28-01-2024 13:52:15,34.523s,ERROR
